statNm,statId,chgerId,chgerType,addr,location,latitute,longtitute,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,output,method,zcode,zscode,kind,kindDetail,parkingFree,limitYn,limitDetail,delYn
국회도서관,ME183103,1,6,"서울특별시 영등포구 의사당대로1, 국회도서관 앞",,37.5300002,126.9169991,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 16:19,2022-08-21 15:47,2022-08-21 16:19,,50,단독,11,11560,A0,A003,Y,N,,N
국회도서관,ME183103,2,4,"서울특별시 영등포구 의사당대로1, 국회도서관 앞",,37.5300002,126.9169991,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 16:13,2022-08-21 15:32,2022-08-21 16:13,,100,동시,11,11560,A0,A003,Y,N,,N
국회도서관,ME183103,52,4,"서울특별시 영등포구 의사당대로1, 국회도서관 앞",,37.5300002,126.9169991,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 15:47,2022-08-21 8:40,2022-08-21 9:20,,100,동시,11,11560,A0,A003,Y,N,,N
국회의원회관,ME183219,1,6,"서울특별시 영등포구 의사당대로1, 국회의원회관 주차장 우측",,37.5284644,126.9149198,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 16:11,2022-08-21 15:34,2022-08-21 16:11,,50,단독,11,11560,A0,A003,Y,N,,N
국회의원회관,ME183219,2,4,"서울특별시 영등포구 의사당대로1, 국회의원회관 주차장 우측",,37.5284644,126.9149198,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-19 10:54,2022-08-19 10:53,2022-08-19 10:54,,100,동시,11,11560,A0,A003,Y,N,,N
국회의원회관,ME183219,52,4,"서울특별시 영등포구 의사당대로1, 국회의원회관 주차장 우측",,37.5284644,126.9149198,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-19 13:56,2022-08-19 13:14,2022-08-19 13:56,,100,동시,11,11560,A0,A003,Y,N,,N
노원에코센터,ME184075,1,6,서울특별시 노원구 덕릉로 450,,37.644779,127.059382,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2022-08-21 17:18,2022-08-21 1:19,2022-08-21 2:02,2022-08-21 17:18,50,단독,11,11350,A0,A004,Y,N,,N
영등포구청 환승공영주차장,ME184076,1,6,서울특별시 영등포구 양산로111,,37.524521,126.895436,06:00~21:00,ME,환경부,환경부,1661-9408,2,2022-08-20 21:22,2022-08-20 20:50,2022-08-20 21:22,,50,단독,11,11560,B0,B003,N,N,,N
서울의료원,ME184077,1,6,서울특별시 중랑구 신내로 156,,37.6128457,127.0993409,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 15:08,2022-08-21 14:27,2022-08-21 15:08,,50,단독,11,11260,I0,I001,Y,N,,N
롯데 빅마켓,ME18A002,1,6,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",,37.528123,126.90408,24시간 이용가능,ME,환경부,환경부,031-994-6115,2,2022-08-21 17:41,2022-08-21 17:24,2022-08-21 17:41,,50,단독,11,11560,E0,E001,Y,N,,N
롯데 빅마켓,ME18A002,2,5,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",,37.528123,126.90408,24시간 이용가능,ME,환경부,환경부,031-994-6115,2,2022-08-21 3:06,2022-08-21 3:04,2022-08-21 3:06,,50,단독,11,11560,E0,E001,Y,N,,N
롯데 빅마켓,ME18A002,3,4,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",,37.528123,126.90408,24시간 이용가능,ME,환경부,환경부,031-994-6115,2,2022-08-21 3:43,2022-08-21 3:08,2022-08-21 3:43,,100,동시,11,11560,E0,E001,Y,N,,N
롯데 빅마켓,ME18A002,4,4,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",,37.528123,126.90408,24시간 이용가능,ME,환경부,환경부,031-994-6115,2,2022-08-20 21:55,2022-08-20 8:07,2022-08-20 8:39,,100,동시,11,11560,E0,E001,Y,N,,N
롯데 빅마켓,ME18A002,5,4,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",,37.528123,126.90408,24시간 이용가능,ME,환경부,환경부,031-994-6115,2,2022-08-21 14:04,2022-08-20 16:41,2022-08-20 17:11,,100,동시,11,11560,E0,E001,Y,N,,N
롯데 빅마켓,ME18A002,6,4,"서울특별시 영등포구 영중로 125, 지상주차장(외부 1F)",,37.528123,126.90408,24시간 이용가능,ME,환경부,환경부,031-994-6115,2,2022-08-20 14:19,2022-08-20 14:04,2022-08-20 14:19,,100,동시,11,11560,E0,E001,Y,N,,N
성애병원,ME18B159,1,6,서울특별시 영등포구 여의대방로 53길 22,,37.51202,126.92238,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2022-08-21 17:16,2022-08-21 8:30,2022-08-21 8:38,2022-08-21 17:16,100,단독,11,11560,I0,I001,N,N,,N
냉천길 공영주차장,ME18B160,1,6,서울특별시 강북구 삼양로 230-12,,37.62393,127.01953,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 6:41,2022-08-21 5:59,2022-08-21 6:42,,100,단독,11,11305,B0,B001,N,N,,N
미아동 공영주차장,ME18B161,1,6,서울특별시 강북구 도봉로 61길 46,,37.62851,127.02233,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 15:09,2022-08-21 14:26,2022-08-21 15:09,,100,단독,11,11305,B0,B001,N,N,,N
수유마을시장 공영주차장,ME18B162,1,6,서울특별시 강북구 도봉로 69길 29,,37.62047,127.02679,"평일07:00~22:00,토일 09:00~18:00",ME,환경부,환경부,1661-9408,2,2022-08-21 14:13,2022-08-21 13:54,2022-08-21 14:12,,100,단독,11,11305,B0,B001,N,N,,N
개봉1동 주민센터 옆 공영주차장,ME18B163,1,6,서울특별시 구로구 개봉동 134-8,,37.50016,126.85106,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 16:13,2022-08-21 15:33,2022-08-21 16:13,,100,단독,11,11530,B0,B001,N,N,,N
하늘공원주차장,ME18B164,1,6,서울특별시 구로구 벚꽃로 370,,37.48739,126.88051,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 14:55,2022-08-21 14:17,2022-08-21 14:55,,100,단독,11,11530,B0,B002,N,N,,N
쌍문2동 제3공영주차장,ME18B165,1,6,서울특별시 도봉구 쌍문2동 710-4,,37.66116,127.03864,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 14:48,2022-08-21 14:07,2022-08-21 14:48,,100,단독,11,11320,B0,B001,Y,N,,N
서초구청,ME18B166,1,6,서울특별시 서초구 남부순환로 2584,,37.48358,127.03269,"유료09:00~18:00, 무료18:00~08:00",ME,환경부,환경부,1661-9408,2,2022-08-21 15:59,2022-08-21 15:48,2022-08-21 15:59,,100,단독,11,11650,A0,A001,N,N,,N
북한산국립공원 정릉탐방지원센터,ME18B167,1,6,서울특별시 성북구 정릉동 829-1,,37.61846,126.9969,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 11:43,2022-08-21 7:32,2022-08-21 7:49,,100,단독,11,11290,D0,D006,N,N,,N
북한산국립공원주차장,ME18B168,1,6,서울특별시 은평구 진관동 278,,37.65584,126.94885,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 10:52,2022-08-21 10:30,2022-08-21 10:52,,100,단독,11,11380,D0,D006,N,N,,N
부암동 주민센터,ME18B169,1,6,서울특별시 종로구 창의문로 145,,37.59246,126.96412,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 17:40,2022-08-21 16:27,2022-08-21 17:08,,100,단독,11,11110,A0,A002,Y,N,,N
SETEC,ME18B170,1,6,서울특별시 강남구 남부순환로3104,,37.49584,127.07223,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 17:24,2022-08-21 17:17,2022-08-21 17:24,,100,단독,11,11680,D0,D002,N,N,,N
논현로22길 공영주차장,ME18B171,1,6,서울특별시 강남구 개포로 25길 32,,37.48151,127.04851,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 15:39,2022-08-21 15:34,2022-08-21 15:39,,100,단독,11,11680,B0,B001,N,N,,N
대청역 공영주차장,ME18B172,1,6,서울특별시 강남구 개포동 13-2,,37.49491,127.07928,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 16:30,2022-08-21 15:50,2022-08-21 16:30,,100,단독,11,11680,B0,B001,N,N,,N
압구정로29길 공영노상주차장,ME18B173,1,6,서울특별시 강남구 압구정동 453,,37.52968,127.02782,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 17:01,2022-08-21 13:13,2022-08-21 13:27,,100,단독,11,11680,B0,B001,N,N,,N
가오리 공영주차장,ME18B174,1,6,서울특별시 강북구 삼양로107길 30,,37.64152,127.01495,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2022-08-21 17:10,2022-08-21 16:03,2022-08-21 16:46,2022-08-21 17:10,100,단독,11,11305,B0,B001,N,N,,N
가양레포츠센터,ME18B175,1,6,서울특별시 강서구 양천로61길 101,,37.56198,126.86373,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2022-08-21 17:26,2022-08-21 13:32,2022-08-21 14:15,2022-08-21 17:26,100,단독,11,11500,A0,A004,Y,N,,N
강서구민올림픽체육센터,ME18B176,1,6,,,37.55962,126.85057,06:00~22:00,ME,환경부,환경부,1661-9408,2,2022-08-21 16:26,2022-08-21 16:05,2022-08-21 16:26,,100,단독,11,11500,A0,A004,Y,N,,N
상계2동 공영주차장,ME18B177,1,6,서울특별시 노원구 상계2동 373-13,,37.65668,127.06751,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2022-08-21 17:14,2022-08-21 16:56,2022-08-21 17:02,,100,단독,11,11350,B0,B001,Y,N,,N
DMC 산학협력연구센터,ME18B178,1,6,서울특별시 마포구 매봉산로 37,,37.576,126.89053,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 15:11,2022-08-20 23:36,2022-08-21 0:08,,100,단독,11,11440,A0,A004,N,N,,N
마천동2공영주차장,ME18B179,1,6,서울특별시 송파구 성내천로299-7,,37.49427,127.15624,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 13:59,2022-08-21 13:30,2022-08-21 13:59,,100,단독,11,11710,B0,B001,Y,N,,N
거여동공영주차장,ME18B180,1,6,서울특별시 송파구 오금로68길8,,37.49223,127.15033,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2022-08-21 17:36,2022-08-21 8:12,2022-08-21 8:38,2022-08-21 17:36,100,단독,11,11710,B0,B001,Y,N,,N
천마공영주차장,ME18B181,1,6,서울특별시 송파구 성내천로33가길20,,37.50028,127.15482,24시간 이용가능,ME,환경부,환경부,1661-9408,3,2022-08-21 17:13,2022-08-21 13:46,2022-08-21 14:29,2022-08-21 17:13,100,단독,11,11710,B0,B001,Y,N,,N
이태원2동공영주차장,ME18B182,1,6,서울특별시 용산구 회나무로 55？,,37.54034,126.99267,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 16:04,2022-08-21 10:51,2022-08-21 11:12,,100,단독,11,11170,B0,B001,N,N,,N
이마트 은평점,ME18B183,1,6,,,37.60077,126.92049,09:30~23:00,ME,환경부,환경부,1661-9408,3,2022-08-21 17:30,2022-08-21 13:44,2022-08-21 13:57,2022-08-21 17:30,100,단독,11,11380,E0,E001,Y,N,,N
신월5동 주민센터,ME18B184,1,6,서울특별시 양천구 화곡로4길 10,,37.53852,126.82716,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 15:03,2022-08-21 13:53,2022-08-21 14:02,,100,단독,11,11470,A0,A002,Y,N,,N
신정1동 주민센터,ME18B185,1,6,서울특별시 양천구 중앙로 32길 1,,37.51855,126.85429,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 17:17,2022-08-21 14:34,2022-08-21 14:42,,100,단독,11,11470,A0,A002,Y,N,,N
목2동 주민센터,ME18B186,1,6,서울특별시 양천구 목동 중앙본로 120,,37.5461,126.87168,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 16:51,2022-08-21 15:03,2022-08-21 15:41,,100,단독,11,11470,A0,A002,Y,N,,N
송정동 공영주차장,ME18B187,1,6,서울특별시 성동구 동일로 199,,37.54988,127.06804,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 14:08,2022-08-21 13:42,2022-08-21 14:08,,100,단독,11,11200,B0,B001,N,N,,N
sh서울주택도시공사,ME18B278,11,4,서울특별시 강남구 개포로 621,,37.49414,127.07879,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 10:02,2022-08-21 9:19,2022-08-21 10:02,,200,동시,11,11680,A0,A003,Y,N,,N
sh서울주택도시공사,ME18B278,12,4,서울특별시 강남구 개포로 621,,37.49414,127.07879,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 16:29,2022-08-21 15:48,2022-08-21 16:29,,200,동시,11,11680,A0,A003,Y,N,,N
강동구청,ME18B279,11,4,서울특별시 강동구 성내로 25,,37.53025,127.12379,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 9:36,2022-08-21 8:57,2022-08-21 9:36,,200,동시,11,11740,A0,A001,N,N,,N
강동구청,ME18B279,12,4,서울특별시 강동구 성내로 25,,37.53025,127.12379,24시간 이용가능,ME,환경부,환경부,1661-9408,2,2022-08-21 14:36,2022-08-21 13:53,2022-08-21 14:36,,200,동시,11,11740,A0,A001,N,N,,N
